SPN, Value Date, Formula, Base Rate, Rate, IBB Type, IBB, Accrued Interest, Version, Call Type
37497ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37498ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37546ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37554AC,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37586ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37592ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37627ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37632ACM,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37634ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37638ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37639ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37666AC,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37682ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37687ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37688ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37689ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37690ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37691ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37719ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37741ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37743ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37744ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37745ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37748ACM,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37749ACM,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37761ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37771ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37772ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37773ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37774ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37776ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37777ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37788ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37789ACM,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37791ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37799ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37803ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37804ACM,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37806ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37812ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37814ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37888ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37903ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
37926ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38015ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38023ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38024ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38026ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38059ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38061ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38139ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38143ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38148ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38182ACM,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38183ACM,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38362ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38385ACA,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38444ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38447ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38458ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38501AC,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38514AC,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38516AC,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38521AC,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38530AC,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38704ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38840AC,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38842AC,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38898ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38902ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38903ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38918ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38923ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38927ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38931ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38959ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38960ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38961ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38962ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38963ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38964ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38966ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38967ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38968ACM,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38972ACM,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
38979ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39009ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39011ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39051ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39052ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39056ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39069ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39087ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39089ACM,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39090ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39092ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39093ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39095ACM,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39096ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39098ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39099ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39101ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39143ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39145ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39146ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39148ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39149ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39155ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39156ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39158ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39159ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39163ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39164ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39165ACA,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39178AC,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39179AC,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39181ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39183ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39191ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39362ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39364ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39441ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39443ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39444ACM,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39445ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39446ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39476ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39477ACM,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39478ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39527ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39591ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39595ACA,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39597ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39726AC,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39727AC,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39728AC,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39773ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39880ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39912ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39915ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39935ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
39950ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60157ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60225ACM,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60428ACM,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60605ACM,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60624ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60686ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60744ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60776AC,12-21-2013,E,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60778AC,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60779AC,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60784ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60808ACM,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60821ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60848ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60873ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60875ACM,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60877ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60878ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60882ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60922ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60924ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60986ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
60993ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61028ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61029ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61095ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61102ACM,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61104ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61121ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61122ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61155ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61162AC,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61163AC,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61165AC,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61175ACM,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61180ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61205ACM,12-21-2013,D,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61208ACM,12-21-2013,E,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61209ACM,12-21-2013,F,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61212ACM,12-21-2013,A,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61215ACM,12-21-2013,B,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61220ACM,12-21-2013,C,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61223ACM,12-21-2013,D,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61225ACM,12-21-2013,E,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61226ACM,12-21-2013,F,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61229ACM,12-21-2013,A,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61241ACM,12-21-2013,B,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61242ACM,12-21-2013,C,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61244ACM,12-21-2013,D,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61253ACM,12-21-2013,E,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61266ACM,12-21-2013,F,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61267ACM,12-21-2013,A,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61283ACM,12-21-2013,B,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61284ACM,12-21-2013,C,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61298ACM,12-21-2013,D,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61358ACM,12-21-2013,E,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61376AC,12-21-2013,F,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61377ACM,12-21-2013,A,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61378ACM,12-21-2013,B,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61380ACM,12-21-2013,C,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61395ACM,12-21-2013,D,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61411ACM,12-21-2013,E,1.25,1.0, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61414ACM,12-21-2013,F,1.25,1.15, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61422ACN,12-21-2013,A,1.25,1.05, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61438ACN,12-21-2013,B,1.25,0.95, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
61444ACM,12-21-2013,C,1.25,0.75, ,0.0,0.0,83a504d578da3d6d2afee8dbf33a6c0aad35d94d,*ALL
